Term,pForward,zForward,likelihoodForward,pReverse,zReverse,probReverse
PC.Counting/Calculation,5.547184214971246e-06,4.54295216682147,3.699475901527596,6.612360800996894e-09,5.800484444845624,0.008012281864979395
BD.Cognition.Reasoning,7.4567012182669146e-06,4.480217506137036,3.449702369322548,7.584653074792762e-08,5.376740108006472,0.009039890778133627
PC.Wisconsin Card Sorting Test,5.869948433390171e-05,4.01797876972841,5.426368660141431,1.0201794822149216e-07,5.323092298009976,0.0037010213715271407
Instruct.Recall,2.0511450699922662e-05,4.25924940668077,2.017144402173706,3.0792368077275745e-07,5.1185315815007515,0.021698720340435445
ST.Digits,0.0012621459147982295,3.224450688325667,2.036612955566458,2.2165911754647603e-05,4.241876038331667,0.009430981840276874
SM.Visual,0.05428035054973701,1.9245925629412488,1.140684361517056,0.0001335307987094623,3.8198537991620434,0.07890524967003852
Instruct.Count,0.001078409157398208,3.269229180293191,3.217445180100832,0.0003086881289296702,3.6078977173754865,0.004427376318980135
PC.n-back,0.0018053295963517124,3.1205184968312087,2.3417436371798184,0.0007644615540866461,3.365351677655097,0.0070892013497816046
Instruct.Read,0.02597200378724318,2.2266301265471973,1.6308985036980594,0.0007990395698377522,3.353127264294197,0.006069106587294814
BD.Cognition.Memory.Explicit,0.0012393558100604052,3.2296644527438914,1.9122908779336056,0.0008854910176362304,3.324588571983639,0.013660472644287366
Instruct.Fixate,0.054794034705613504,1.9205058518243057,1.3581732445757992,0.0023747077856268958,3.0388655891985232,0.010807226598681635
Contrast.Instruction,0.099289324870384,1.6483087755071555,1.1327899421066274,0.003597662292190173,2.9114406662043515,0.051236402135628696
PC.Reasoning/Problem Solving,0.00176310459088036,3.127482260955749,2.9922832706278455,0.004397125920983974,2.8481712311478518,0.005191682776160146
PC.Phonological Discrimination,0.0012823982741210216,3.219889925110134,2.93169373367247,0.005615329450951461,2.769436816056347,0.0061740296103319076
ST.Fixation Point,0.08859720257455073,1.702844339859143,1.2749902647836213,0.009954887707568845,2.5773923737666085,0.012189645889056641
PC.Cued Explicit Recognition/Recall,0.017573383976218326,2.374486391798942,1.8208552289326712,0.015959391648959823,2.4098428846517512,0.006318454420892699
BD.Cognition.Language.Phonology,0.004414782054127264,2.846895726047176,2.461833054471091,0.019698472369101667,2.332042178668769,0.005920959594968097
ST.Asian Characters,0.035392869261049675,-2.1038346941004065,1.9734532177541542,0.019752040089818818,2.3310250262128456,0.002691963260169192
BD.Cognition,0.009636720559396461,2.5885991295082236,1.5507992582469947,0.02360837095662866,2.263443383664417,0.017127529613618533
ST.Letters,0.020392234358883377,2.319051679132581,1.554912784130939,0.02510531799148986,2.23977832057608,0.01157267775945563
PC.Task Switching,0.01648646751015459,-2.397964399108188,2.323369612894547,0.028422042476855803,2.1914112949876356,0.0033360841165109146
PC.Saccades,0.0402336947405757,-2.0513415715611156,1.9175568244896777,0.03361189350745352,2.1246971251248734,0.002822219546951572
BD.Cognition.Memory.Working,0.07164450342482909,1.8013704948378526,1.3684125222990906,0.03992899469303878,2.0544827145021824,0.009349547437068615
RT.Saccades,0.07102775574943743,1.805299961012432,1.626668866083587,0.045277271309826436,2.0020693694949645,0.0030948080672664026
RM.Ocular,0.07923432358075089,1.7551460829718888,1.5867283358895705,0.055657412440370334,1.9137084994499762,0.003113750906402299
Instruct.Detect,0.06262760266167722,1.8618261258456401,1.430920137341189,0.05648647460007465,1.907263497132513,0.008167162863305032
RT.Button Press,0.08194181588877747,1.739528657800203,1.143253505884177,0.05955459240683659,1.8840767664369573,0.05783822573749278
ST.Shapes,0.16190863878682582,1.3986810851009035,1.1722468882535497,0.0701581719099367,1.810888120055987,0.01514887163258496
BD.Cognition.Language.Orthography,0.03173836142827746,2.147690363267192,1.930357894035377,0.08955503974329602,1.6977495588714535,0.004088354476082936
Instruct.Generate,0.04862374307218986,1.9718761804618912,1.519325235326802,0.1273159953952124,1.5247719224919953,0.008089994079359354
PC.Paired Associate Recall,0.03853424065879285,-2.0691262540536104,2.0412183617473874,0.13478512681573604,1.4954956788336817,0.0030042219800464395
PC.Word Generation (Overt),0.04059459775498697,-2.0476470282134613,2.014893124939137,0.16130647297458797,1.4006910742347514,0.003086024901428527
ST.Abstract/Geometrical,0.06911623137115797,1.817659238940248,1.501925039954632,0.18051729423449242,1.3391639846626686,0.006290044872617557
BD.Cognition.Language.Speech,0.1520116101809944,1.4324621245358033,1.2406470926682376,0.1976133494534172,1.288381057154329,0.008803196518918262
BD.Perception.Vision.Motion,0.19606651058878932,1.29283968818243,1.2620582236636086,0.2270028097719469,1.2081155745817753,0.003186392622090833
Contrast.Experience Dependent Change,0.06877084606076278,-1.8199222496574958,1.6913356862778488,0.24730033872888713,1.156931522287334,0.003602361198260183
RM.Hand,0.20429255816890302,1.2694164892844664,1.0772197525698204,0.25369989319683534,1.141408682566242,0.06042676614588284
PC.Reading (Covert),0.1393202423456461,-1.4783271190148466,1.4373759872177283,0.2544558787011203,1.1395930583091949,0.002459483221600283
BD.Cognition.Attention,0.2928505058684706,1.051888942051791,1.0841702508569306,0.31417253322285227,1.0065053628153402,0.013751206155520265
RT.Speech,0.2648002290241165,1.115117136368136,1.1188437906318502,0.4172632451204975,0.811178370199772,0.009438348614939036
Instruct.Encode,0.2379921380899973,-1.1800203077302687,1.1994166948456595,0.43936638668737493,0.7732636111206375,0.0029708305171896716
ST.Faces,0.15089378428140576,1.4363816059673735,1.2834200757906162,0.6844628488163698,0.4063807674143345,0.007724568965352968
PC.Reward,0.4145917660712133,0.8158398010252925,1.0087166956715359,0.7012049290470254,0.38369444671570374,0.008135168394164066
BD.Perception.Audition,0.3941551053948652,0.852106282425281,1.0068757712160448,0.8551568117119585,0.18254274558967856,0.0036987221434995033
Instruct.Discriminate,0.2404147534186135,1.1739507490390964,1.078870215372161,0.9144834521521725,0.10738512833312495,0.04136177353806673
RM.Not Defined.,1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Other,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Stroop-Counting,1.0,-0.0,19.342973999415715,1.0,0.0,0.000925807470428558
PC.Tactile Monitor/Discrimination,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Recitation/Repetition (Covert),1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Recitation/Repetition (Overt),1.0,-0.0,0.9741066042871224,1.0,-0.0,0.0007576302141097012
PC.Theory of Mind,1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Pelvis,1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Shoulder,1.0,-0.0,0.0,1.0,-0.0,0.0
