Term,pForward,zForward,likelihoodForward,pReverse,zReverse,probReverse
PC.Theory of Mind,4.951594689828198e-14,7.53318876887116,4.214893151650877,8.148302926823192e-20,9.11119028161552,0.009627877420282958
BD.Cognition.Social Cognition,9.944237655545862e-10,6.110302650944582,2.771860475501159,7.831577244554005e-13,7.164071064608986,0.010143525497095124
Instruct.Choose,7.578063887514475e-08,5.3768966593201295,4.14866834634867,3.2218291941338646e-10,6.28771005475724,0.0046416016100480255
BD.Cognition.Attention,0.01180900990724354,2.517800763773365,1.2867943025947552,0.0004710848609003654,3.4966809610701444,0.01589655093458103
RT.Button Press,0.00925819725141186,2.602369760728288,1.1573727846190403,0.0007491896880147022,3.3709150037664686,0.05702905244884521
PC.Divided Auditory Attention,0.001715512263239627,-3.135517442623762,4.0176577669902915,0.0007928170668360755,3.3552904127503087,0.001123756179274785
ST.Acupuncture,0.015055277460389926,-2.4310466149068315,2.5428213715128427,0.0017462959264890312,3.1302970940543564,0.0007705079288276479
PC.Reading (Overt),0.1250488455643124,-1.533921989470405,1.3180959235551746,0.002067076347262343,3.0804217900014947,0.0016590469776044143
PC.Acupuncture,0.017736003680949075,-2.371083917471351,2.4497913213355433,0.00247841406117278,3.0259644920455995,0.000770869330295203
Instruct.Discriminate,0.0009269926809392093,3.3117955408550417,1.2495736847947017,0.002644671313297639,3.0062779503845074,0.04665973730552081
SM.Auditory,0.010911486841804985,2.5455207826154176,1.2711701988242,0.004265730195695486,2.8578120167687766,0.01943683057678956
PC.Deception,0.020730175233663495,-2.3128629533854688,2.0948681094176567,0.009709995479869516,2.585989264523866,0.0012695445352452566
PC.Go/No-Go,0.18745739966942365,1.318138167658364,1.1829687941082934,0.009984957041612227,2.5763498192243053,0.0029641464672319805
PC.Delay Discounting,0.08193774398061171,-1.739551828839855,1.6178487652309896,0.010475897365652046,2.5597118838423008,0.0007919087169386068
BD.Action.Inhibition,0.08665116433269504,1.7133337087142053,1.324320648369276,0.02421398546350514,2.2537168687073583,0.0035498409728498908
PC.Tone Monitor/Discrimination,0.13269650935509913,-1.5035529659759783,1.342575694900682,0.02571544302877567,2.2304822729517575,0.0014864499725856942
RM.Hand,0.07054992539512583,1.8083636247943846,1.0913435393628825,0.026796904020716723,2.2144635998728326,0.05962618127922955
BD.Cognition.Music,0.12485315843919143,-1.534717812773194,1.3774826629680998,0.026979972897558085,2.2118074389991285,0.0013324537554258167
ST.Syllables,0.29337151125243044,-1.0507541664215199,1.1173092283634645,0.043130056842595965,2.0224483261396156,0.0006640969309735114
PC.Imagined Objects/Scenes,0.022658236943702614,-2.2791485393708255,1.845078193795771,0.04331942364276524,2.020617039663522,0.002171821165456435
ST.Pseudowords,0.028945396415350766,2.184229388741252,1.562933227433294,0.043669014755132574,2.017253986811036,0.0036065630238738804
PC.Film Viewing,0.14541123356074848,1.4559326689380496,1.2492031465721984,0.048472274245628805,1.9732044451472635,0.0029117291644065453
Contrast.Stimulus Modality,0.17825637700065844,1.346143081848109,1.1072285184618913,0.05173371973117053,1.9453429197303405,0.013587937659833398
Contrast.Instruction,0.47942479187702336,0.7072280144871522,1.000453370709695,0.08076960349016421,1.7462380045130332,0.04407340080012065
BD.Cognition.Memory,0.047458656365133134,-1.982183949909123,1.8436670441255638,0.08481776452942259,1.7233914250737623,0.0012247438282727101
BD.Cognition.Time,0.024626218061167715,-2.247216126264867,2.269863145192255,0.08832729980648521,1.7042879781433622,0.0011904196814351534
PC.Word Generation (Covert),0.06528166252961798,-1.8433243873717566,1.471254956926022,0.09512106864086119,1.6689813869048038,0.0026577097432379008
ST.Music,0.11787383865374867,-1.5637604366916393,1.442236121483694,0.11935674618907664,1.5574792379632434,0.0012438156001374754
ST.Video,0.20323654559734194,1.2723844801212272,1.179114061956581,0.12414710160869918,1.5375973263237466,0.003036938545198797
BD.Action.Observation,0.138773345518855,-1.4803744467596298,1.3454481824339581,0.1461349703681338,1.4533198431079468,0.0016464334719607314
BD.Perception.Audition,0.12142946388552911,1.5488014209058067,1.251961343821337,0.15968559042731362,1.4061297812696896,0.004479372777869391
SM.Visual,0.3987504269505333,0.8438550178214734,1.0122689278167392,0.1796510739996419,1.3418301499560341,0.0682003787964265
Contrast.Stimulus Type,0.4098499789220986,0.8241576639182088,1.0107924451956924,0.1985595638496741,1.2856662525169569,0.06594513971494176
PC.Music Comprehension,0.17464440548528892,-1.3574306797886857,1.3190668455234882,0.20797151780811263,1.2591628476948196,0.001045354585371893
ST.Tones,0.3854770025269625,0.8678489979838699,1.0320983292241583,0.2190602400742842,1.2290308487370982,0.004221979330216211
BD.Cognition.Language.Speech,0.24988498544705195,1.150628785443657,1.0971684882905575,0.2532719373595995,1.1424381592674808,0.007582561307874596
PC.Face Monitor/Discrimination,0.043053259875121985,2.02319293427377,1.3611223743308227,0.26709374897347665,1.1097802103807985,0.007027305118352395
PC.Visual Object Identification,0.12142049873334793,-1.5488387046801562,1.3677132823796736,0.29512123425609393,1.0469530465433825,0.002151873534781503
BD.Perception.Somesthesis,0.2530886280273781,-1.1428794928499706,1.1370729529217805,0.3083157809428007,1.0187623984930267,0.0047309075000129515
PC.Pitch Monitor/Discrimination,0.1024989648009641,-1.6328575267751728,1.5281107196159587,0.331281253424218,0.9715363651379373,0.0013534939718682039
PC.Saccades,0.2717123576681364,-1.099127726333479,1.1379675815236072,0.3401762416195253,0.9538170810738495,0.0016312589699150103
RT.Saccades,0.40600496876012593,-0.8309445254158792,1.0113097353980138,0.38868055249715083,0.8620126576851763,0.001873998433973683
BD.Cognition.Reasoning,0.20291902471712342,-1.2732790878119067,1.194208253457836,0.505209632297172,0.6663152309098553,0.0030479798705382965
BD.Perception.Vision,0.20759909509036856,1.2601948087921242,1.1745517117598443,0.5645382100059372,0.5761138803696003,0.003778062477183499
Instruct.Encode,0.3877792269061241,-0.8636517495814647,1.0281407671431848,0.5655510585290212,0.5746159558583788,0.0024803378267949853
PC.Paired Associate Recall,0.17252468906884155,-1.3641362455147368,1.2921110406400937,0.5814294423396837,0.5512979517796369,0.001852221240211706
PC.Phonological Discrimination,0.37381757146466055,-0.8893452280318042,1.030994775811462,0.6154763422227452,0.5022718010795411,0.0021147403106373925
ST.Noise,0.22065920382787474,-1.2247771306815154,1.228328489270917,0.648472362360583,0.45588543684542193,0.0013313289767204457
ST.Words,0.1673711920863219,1.3807000950137316,1.0816617961213095,0.6912057966180429,0.3972192383329719,0.030947879601460386
BD.Cognition.Language.Phonology,0.14174097743270986,-1.4693385802967192,1.2986368539766597,0.7123176196607394,0.3687452467177127,0.003042087434804468
PC.Orthographic Discrimination,0.1762703291184976,-1.3523282560161807,1.315467754539795,0.7271348080967568,0.3489393959761026,0.001487098900268133
PC.Task Switching,0.33104134681858155,-0.9720184965640486,1.07239673475432,0.8286084859431234,0.21648657847991043,0.001499769924675595
BD.Emotion.Fear,0.10190035620624394,-1.6357097105389071,1.4642944025477143,0.8475644984176005,0.19222687093990778,0.002372089733017389
PC.Tactile Monitor/Discrimination,0.3246502170815808,-0.9849467723308316,1.0773607419862232,0.848563420994107,0.19095171733933536,0.0015067121956756893
ST.Faces,0.15729139614961973,1.4142401735270338,1.184775328864962,0.8564549533401344,0.1808886812619283,0.006945314213141158
PC.Emotion Induction,0.20348286694091755,-1.2716911762313399,1.212461877555369,0.8566493089466254,0.18064108019981273,0.0030380468266859462
PC.Stroop-Color Word,0.3746953529653232,-0.8877126251093587,1.0107315137082493,0.88224903729688,0.14811876901287646,0.001024809094307194
PC.Passive Listening,0.17017148620366562,-1.37165300009414,1.283368940653509,0.9403612462435423,0.07481583044656984,0.0024379626072110463
ST.Dots,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.False Font,1.0,-0.0,0.9523336929162171,1.0,-0.0,0.000843510811109962
BD.Emotion.Anger,1.0,-0.0,0.9799165285342174,1.0,-0.0,0.0004910723141139812
PC.Thirst Induction,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Odor,1.0,-0.0,1.447804600717222,1.0,0.0,0.0011642518974468493
PC.Tower of London,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Transcranial Magnetic Stimulation,1.0,-0.0,1.1773356093744443,1.0,0.0,0.0004802376834507628
PC.Trauma Recall,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Vibrotactile Monitor/Discrimination,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Video Games,1.0,-0.0,6.696096278317151,1.0,0.0,0.0013266566005327321
PC.Visual Motion,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Objects,1.0,-0.0,0.562894258072195,1.0,-0.0,0.0005904148052231794
PC.Visual Pursuit/Tracking,1.0,-0.0,0.878176561090774,1.0,-0.0,0.0008187658865390053
PC.Whistling,1.0,-0.0,2.6784385113268607,1.0,0.0,0.00012486179769719832
PC.Wisconsin Card Sorting Test,1.0,-0.0,1.2267657303787147,1.0,0.0,0.0008149376872603402
BD.Cognition.Soma,1.0,-0.0,0.7670945617165233,1.0,-0.0,0.0005274591454034393
PC.Word Generation (Overt),1.0,-0.0,0.31886172753891195,1.0,-0.0,0.00047566399122742217
PC.Word Stem Completion (Covert),1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Faces and Scenes,1.0,-0.0,4.726656196459166,1.0,0.0,0.0001101721744387044
PC.Word Stem Completion (Overt),1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Writing,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Taste,1.0,-0.0,0.25032135619877205,1.0,-0.0,0.00032965848457437876
ST.Pain,1.0,-0.0,0.913104037952339,1.0,-0.0,0.000521439893792277
ST.Interactive Computer Game,1.0,-0.0,10.713754045307443,1.0,0.0,0.00012486179769719832
