Term,pForward,zForward,likelihoodForward,pReverse,zReverse,probReverse
PC.Flanker,8.574958705986901e-06,-4.450302082622883,7.073824786324786,9.125749385448943e-09,5.7462256722082685,0.002245323576940182
RT.Button Press,0.00021555393133976253,3.7000536043385477,1.2765324936553655,1.295848632917888e-07,5.27943213437818,0.06344943026958644
Instruct.Discriminate,1.3020462649948605e-05,4.359760909766038,1.3968482679797587,2.4728325932264473e-06,4.710356995246729,0.05261415684584109
PC.Film Viewing,0.0009905446951540275,3.2931986293937294,2.0377273047026137,3.3516570328432306e-06,4.6480019764552525,0.004791118743661417
BD.Cognition.Attention,0.0021184883947821254,3.0730980908381857,1.4265127089860186,3.53432298295641e-05,4.1359869362610295,0.01777634148607798
ST.Video,0.0020082764033981793,3.0890056195749587,1.9233964675807578,3.593347891171185e-05,4.132182590148705,0.004997145120883992
RM.Hand,0.008852800888071832,2.617686838232306,1.1728930261850108,0.00017378190604315348,3.7543643796312036,0.06464082358754153
PC.Oddball Discrimination,0.015929383132020525,-2.410529497940928,2.3363091037402963,0.0006176918453278154,3.4237246009853073,0.001126095004948593
BD.Action.Inhibition,0.013378803781205928,2.4735234120671623,1.6613432749094057,0.0011461185528320132,3.251960731093318,0.0044920862661853205
ST.Pseudowords,0.002112968597919096,3.0738765327139417,2.063873364431145,0.0011747806098240784,3.244933484825773,0.00480406760741206
PC.Wisconsin Card Sorting Test,0.0038490502028337703,-2.890274946354799,2.8349297807790172,0.0016905418145395854,3.139815649870824,0.0018996694385053703
PC.Delayed Match to Sample,0.04083363317899702,2.0452153361474434,1.482291573385869,0.0016937764668910383,3.1392555838679326,0.0038162659165688778
SM.Visual,0.13881737628720803,1.4802093862551309,1.0677159040962936,0.003037606152780108,2.9639064512631133,0.07256372273595058
PC.Counting/Calculation,0.006165082221242457,2.738869591983269,1.9327390126570456,0.0038094125353295904,2.8935272340407137,0.00411256392861944
PC.Pitch Monitor/Discrimination,0.0035009840275223025,-2.9199403388751586,2.690519728554594,0.004326779334415739,2.8532997089240997,0.0024038681718253755
BD.Cognition.Reasoning,0.004551159611283939,2.8371964761928297,1.9148888752790025,0.0052260210422175515,2.7927614841726056,0.0049300186818520275
BD.Cognition.Memory.Working,0.03173734647544113,2.147703131166525,1.3545621931260228,0.005267305230700142,2.790214991193732,0.009092764272573361
ST.Digits,0.043367271485214465,2.0201553940230164,1.3831996323222193,0.007149654071527609,2.6897921217371854,0.006292985106590935
PC.Tone Monitor/Discrimination,0.060945086692190564,-1.8738936367603483,1.5955995758627337,0.0075321456574701405,2.672352603058845,0.0017820028388414145
ST.Sounds (Environmental),0.0020225466086232213,-3.086901416567132,3.1539346181065926,0.008173857394680382,2.6448026486951295,0.0024842103269283925
BD.Cognition.Music,0.06428491563413141,-1.8501987044370645,1.6168742368742368,0.010104961085908018,2.5722167317320874,0.0015776665133209323
Contrast.Stimulus Type,0.17921653529167592,1.343171229730904,1.0575768911312677,0.010967839211953016,2.543721823148694,0.06959943607517176
BD.Emotion.Anger,0.005007861662384205,-2.8065276359324773,3.2349808474046275,0.012153847981800988,2.5076456524338018,0.001635313580766054
PC.Stroop-Color Word,0.014497644740638194,-2.4446906162440225,2.1354942751169164,0.015347367941624779,2.424076599266404,0.0021841302719082696
PC.Task Switching,0.012489053647658399,-2.4980160576110264,2.0230194813130944,0.017685443702790574,2.3721388390612916,0.00285392256363544
BD.Interoception.Sexuality,0.04773294177667409,-1.979738306959842,1.7726768557615813,0.018820036343866912,2.3490765662836224,0.001542134198959181
BD.Action.Observation,0.0339166449168008,-2.121061290832965,1.776681574239714,0.019238556287744197,2.340875986311183,0.0021931067495694805
PC.Go/No-Go,0.21879556544804768,1.2297371098888172,1.1715940941649443,0.029575325677660774,2.175731736304295,0.002961259778199847
PC.Reasoning/Problem Solving,0.006361025649914476,-2.7285665348915025,2.1495047693252114,0.03132911478266644,2.1528672274137954,0.003664099759790864
PC.Orthographic Discrimination,0.008951580415785587,-2.6138978171220977,2.3161227131213487,0.0369387209592163,2.0864407060185313,0.0026411567314015183
ST.Asian Characters,0.07159330429039568,-1.8016956409530174,1.5465042042977266,0.03819929402023476,2.072709812533437,0.002072606378714015
ST.Letters,0.03358097757656198,2.125067540647908,1.3539037596866617,0.042204252491158334,2.031500464279981,0.009900087955196615
Contrast.Instruction,0.3676123118901784,0.9009548766241294,1.0222174972914408,0.053587948253738124,1.9301524740964426,0.04542510966080109
ST.False Font,0.04306060053686522,-2.0231217121766147,1.8863532763532762,0.09139092616692346,1.6881057745734436,0.0016853786849131244
PC.n-back,0.07352524622232193,1.789556441805274,1.4116280061402011,0.13113989083451882,1.509622053203725,0.004198572542245869
ST.Shapes,0.33530581034046403,0.9634817660517371,1.047047236106536,0.13913118312919473,1.479034167916375,0.013293853983745633
BD.Emotion.Disgust,0.02958950908030855,-2.17554220353912,2.0503839960361696,0.14519271648039642,1.4567235133578205,0.002000664056747559
ST.Symbols,0.1830537886386796,1.3314110708042985,1.2126556776556776,0.1666144120922325,1.383164565344753,0.003720821927500873
PC.Reading (Covert),0.13611049254719454,-1.4904327277000784,1.3516862649028254,0.17728005866858249,1.3491771925775706,0.002272337377936632
BD.Perception.Audition,0.1266977817427063,1.5272543275584798,1.2774966859155952,0.18840715644079042,1.315305779782968,0.004610616835084518
BD.Cognition.Language.Speech,0.19862987562684487,1.2854648974025786,1.1438092539871196,0.2106795926545386,1.2516989230846924,0.007973870410381651
PC.Affective Pictures,0.07211652218292319,-1.798381817118948,1.619959874730867,0.2528922271630648,1.143352592616929,0.002152006481715357
PC.Phonological Discrimination,0.03734448761733833,-2.08197790866922,1.701802274175971,0.2779041963494353,1.0850394201000058,0.003521134719250397
Instruct.Generate,0.12493180867626075,1.5343978400180887,1.2473214958520862,0.34386804158016115,0.9465501783551085,0.006525282102367199
PC.Word Generation (Covert),0.23126001775848914,-1.1971194042522448,1.1955760202239076,0.492746075427284,0.6859477218147001,0.0021785612170624616
BD.Cognition.Language.Orthography,0.163094955575405,-1.3947376875937816,1.2966277612407957,0.4952252633833154,0.6820216464657233,0.0026980466606816855
PC.Emotion Induction,0.3819371873803643,-0.8743325327040483,1.0188636523513068,0.5345111485405656,0.621134473820583,0.002575226324718011
Instruct.Count,0.20313296646354784,-1.2726761999881442,1.2606816450875857,0.5353178357699271,0.6199087939550479,0.0017043710320007986
ST.Faces,0.09614907732444378,1.6638166413965951,1.2851340449089264,0.5652442427789525,0.5750695763223739,0.007599364712895959
PC.Semantic Monitor/Discrimination,0.42735894935854335,0.7937191499204892,1.0076673484793142,0.5833749385055305,0.5484616740513126,0.006515394994814288
PC.Tactile Monitor/Discrimination,0.13405021522693317,-1.4983196727375123,1.4226686721100128,0.6085471776503296,0.5121483648940227,0.0020069931413990456
PC.Face Monitor/Discrimination,0.13895718310452065,1.479685552072886,1.2395721004073808,0.6355105773844869,0.47398503705510897,0.006455596732765451
BD.Cognition,0.37784347823729436,0.881876718719484,1.033694775252832,0.9042080483623234,0.1203472848758444,0.011216436351893417
BD.Perception.Vision,0.4160179912080674,-0.8133489992730442,1.0035950900632757,0.9341226523281237,0.08265904299929985,0.003256330552971431
BD.Cognition.Language.Phonology,0.2702904918570008,-1.102393832059396,1.1432444099110766,0.9409229388732557,0.07410989873255679,0.002701444303568884
PC.Whistling,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Visual Motion,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Video Games,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Vibrotactile Monitor/Discrimination,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Playing Cards,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Visual Pursuit/Tracking,1.0,-0.0,0.5798217037971136,1.0,-0.0,0.0005453123441263345
PC.Visual Object Identification,1.0,-0.0,0.7224331696672122,1.0,-0.0,0.0011465482095013696
ST.Film Clip,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Pain,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Odor,1.0,-0.0,0.9559222684222684,1.0,-0.0,0.0007754120460904533
PC.Trauma Recall,1.0,-0.0,0.0,1.0,-0.0,0.0
