Term,pForward,zForward,likelihoodForward,pReverse,zReverse,probReverse
PC.Self-Reflection,3.730349362740526e-13,7.26500120851795,100.77777777777777,1.7061533754080268e-61,16.546170760299027,0.022604313277247788
BD.Cognition.Social Cognition,6.045424816303324e-08,5.417452366651982,6.109499879335065,1.1872160490850655e-13,7.418201257926714,0.02390503277910495
PC.Theory of Mind,5.188877047590523e-06,4.557002646929372,6.5965279334479066,1.0957767367566169e-08,5.715195963512937,0.01611111182698754
PC.Semantic Monitor/Discrimination,3.3698886211519508e-06,4.6468825737095525,4.075454609405226,9.048176901166127e-08,5.344870400864796,0.027931405185231312
ST.Words,0.0004488592417700721,3.509553799936796,1.8811253349756762,6.508005642294952e-05,3.993591104408345,0.05754707628254938
BD.Cognition.Memory.Explicit,0.0012569394574978299,3.225634079695079,2.645630821091786,0.0005574877419995415,3.4514961346199433,0.019681473392421673
BD.Cognition.Reasoning,0.004972652923857401,2.8087999913978945,3.2540595266179126,0.0047083007904729374,2.82634170912915,0.00888021831906504
RT.Button Press,0.02652693058293254,2.2184094029163757,1.353306619165729,0.005401581561178676,2.782055418126449,0.07129929236216875
RM.Hand,0.05174705255857892,1.94523207922276,1.2763320225152286,0.012785371622583919,2.489692343929903,0.07455989770792705
BD.Cognition.Language.Semantics,0.009290612831014955,2.601171010596373,2.046339846142607,0.025556982142926277,2.2328781303665317,0.021292088923112084
Instruct.Discriminate,0.026694758402116325,2.2159524564766113,1.4159085757299699,0.04156985595463453,2.0378008238932046,0.056530360430454944
SM.Auditory,0.05932891065437618,1.8857480785739695,1.4758674933208509,0.08668446695245316,1.7131526124966028,0.02412877297753416
Contrast.Instruction,0.44734798258849784,0.7598437591312904,1.0016270213875846,0.5310617298663213,0.6263860918044029,0.04717934062754014
PC.Wisconsin Card Sorting Test,1.0,0.0,4.679884082555838,1.0,0.0,0.0033240227433781466
PC.Word Generation (Covert),1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Word Generation (Overt),1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Leg,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Whistling,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Word Stem Completion (Overt),1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Flexion/Extension,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Writing,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.n-back,1.0,-0.0,0.5437381949577071,1.0,-0.0,0.001714211472109261
RM.Arm,1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Foot,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Visuospatial Attention,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Word Stem Completion (Covert),1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Not Defined.,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Breath-Hold,1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Ocular,1.0,0.0,1.3684482473544972,1.0,0.0,0.0027965736457838393
RM.Other,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Finger Tapping,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Visual Object Identification,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Drink,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Draw,1.0,0.0,6.663747987117552,1.0,0.0,0.0033214872569224813
RM.Pelvis,1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Shoulder,1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Torso,1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Unknown,1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Wrist,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Blink,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Visual Pursuit/Tracking,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Trauma Recall,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Visual Motion,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Sequence Recall/Learning,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Passive Listening,1.0,0.0,3.263876565118801,1.0,0.0,0.00662941742300038
PC.Passive Viewing,1.0,-0.0,0.5182289220750759,1.0,-0.0,0.0017758585714315043
PC.Phonological Discrimination,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Physical Size,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Pitch Monitor/Discrimination,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Pointing,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Reading (Covert),1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Reading (Overt),1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Reasoning/Problem Solving,1.0,0.0,3.3870984243912416,1.0,0.0,0.006119977901567112
PC.Recitation/Repetition (Covert),1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Recitation/Repetition (Overt),1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Rest,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Reward,1.0,0.0,0.46843538858820616,1.0,-0.0,0.003934265173395401
PC.Saccades,1.0,0.0,1.9293935950112189,1.0,0.0,0.0029571951061632415
PC.Sexual Arousal/Gratification,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Video Games,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Stroop-Color Word,1.0,0.0,3.084602841835546,1.0,0.0,0.0033440483024411998
PC.Stroop-Counting,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Stroop-Emotional,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Stroop-Other,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Syntactic Discrimination,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Tactile Monitor/Discrimination,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Task Switching,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Taste,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Thirst Induction,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Tone Monitor/Discrimination,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Tower of London,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Transcranial Magnetic Stimulation,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Manipulate,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Vibrotactile Monitor/Discrimination,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Grasp,1.0,0.0,3.1888937051485815,1.0,0.0,0.0036557955972161093
RT.Saccades,1.0,0.0,1.4028943130773794,1.0,0.0,0.00277956038868776
RT.Micturate,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Music,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Pain,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Odor,1.0,-0.0,2.761553219886553,1.0,0.0,0.0023744145390702603
ST.Objects,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Numbers,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Not Defined.,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Noise,1.0,-0.0,1.561948572776598,1.0,0.0,0.0018101047751738057
ST.Mathematical Equation,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Not Defined.,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Letters and abstract objects,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Letters,1.0,0.0,0.6705047190829181,1.0,-0.0,0.005196922715734562
ST.Interactive Computer Program,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Interactive Computer Game,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Instruction,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Inhalation,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Playing Cards,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Pseudowords,1.0,0.0,2.104341469616069,1.0,0.0,0.0051920090279261935
ST.Reversed Speech,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Scenes,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Sounds (Environmental),1.0,0.0,5.206495242588661,1.0,0.0,0.00434684659271129
ST.Spinner,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Stories,1.0,-0.0,11.677425044091711,1.0,0.0,0.0020371788509124552
ST.Syllables,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Symbols,1.0,-0.0,0.4670970017636684,1.0,-0.0,0.0015191533716804307
ST.TMS,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Tactile Stimulation,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Tones,1.0,0.0,0.6562106661116561,1.0,-0.0,0.002870148956396595
ST.Tools,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Uniform Screen,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Vibration,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Video,1.0,0.0,1.5875653383206252,1.0,0.0,0.004371977486474831
ST.Vignettes,1.0,-0.0,35.03227513227513,1.0,0.0,0.001309614975586578
ST.Infusion,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Heat,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Food,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Acupuncture,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Point,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Pain Monitor/Discrimination,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Smile,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Swallow,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Unknown,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Whistle,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Write,1.0,-0.0,0.0,1.0,-0.0,0.0
SM.Gustatory,1.0,-0.0,0.0,1.0,-0.0,0.0
SM.Interoceptive,1.0,-0.0,0.0,1.0,-0.0,0.0
SM.Not Defined.,1.0,-0.0,0.0,1.0,-0.0,0.0
SM.Olfactory,1.0,-0.0,2.52290047248895,1.0,0.0,0.002232094111339264
SM.Tactile,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Abstract Patterns,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Abstract/Geometrical,1.0,0.0,1.2364332399626516,1.0,0.0,0.0053925322524153215
ST.Air Puff,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Fixation Point,1.0,0.0,0.4276201916866878,1.0,-0.0,0.004257542756600635
ST.Animations,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Arrow,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Asian Characters,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Blurred disk,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Braille,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Cartoons,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Clicks,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Digits,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Dots,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Electricity,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Faces,1.0,0.0,1.2913424219374718,1.0,0.0,0.008094004439249328
ST.Faces and Scenes,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.False Font,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Film Clip,1.0,-0.0,0.0,1.0,-0.0,0.0
BD.Action.Execution.Speech,1.0,-0.0,0.0,1.0,-0.0,0.0
BD.Action.Execution,1.0,0.0,0.6480600579437789,1.0,-0.0,0.006072774164453618
PC.Orthographic Discrimination,1.0,-0.0,0.0,1.0,-0.0,0.0
Contrast.Session,1.0,-0.0,0.0,1.0,-0.0,0.0
BD.Perception.Audition,1.0,-0.0,0.4341818801804638,1.0,-0.0,0.0016609788612698046
BD.Perception.Gustation,1.0,-0.0,0.0,1.0,-0.0,0.0
BD.Perception.Olfaction,1.0,-0.0,2.6539602372935707,1.0,0.0,0.002215762711219716
BD.Perception.Somesthesis,1.0,-0.0,0.0,1.0,-0.0,0.0
BD.Perception.Somesthesis.Pain,1.0,-0.0,0.0,1.0,-0.0,0.0
BD.Perception.Vision,1.0,0.0,1.0542817107735423,1.0,0.0,0.003625933122432315
BD.Perception.Vision.Color,1.0,-0.0,0.0,1.0,-0.0,0.0
BD.Perception.Vision.Motion,1.0,0.0,1.0884417484506255,1.0,0.0,0.0028618158291779496
BD.Perception.Vision.Shape,1.0,0.0,1.0108240969741382,1.0,0.0,0.0039047327521611365
BD.Pharmacology.Alcohol,1.0,-0.0,0.0,1.0,-0.0,0.0
BD.Pharmacology.Caffeine,1.0,-0.0,0.0,1.0,-0.0,0.0
Contrast.Experience Dependent Change,1.0,-0.0,0.0,1.0,-0.0,0.0
Contrast.External Variable,1.0,-0.0,0.2002825268914782,1.0,-0.0,0.0019791116000983057
Contrast.Group,1.0,-0.0,0.0,1.0,-0.0,0.0
Contrast.Stimulus Modality,1.0,0.0,0.3620461504811898,1.0,-0.0,0.0047505767642956045
BD.Interoception.Thirst,1.0,-0.0,0.0,1.0,-0.0,0.0
Instruct.Add,1.0,-0.0,0.0,1.0,-0.0,0.0
Instruct.Answer,1.0,0.0,12.13989732306564,1.0,0.0,0.003176788802165462
Instruct.Choose,1.0,0.0,6.663747987117552,1.0,0.0,0.007971569416613955
Instruct.Count,1.0,-0.0,0.0,1.0,-0.0,0.0
Instruct.Detect,1.0,-0.0,0.26995368331784003,1.0,-0.0,0.0016045810962437928
Instruct.Encode,1.0,-0.0,0.6034102508019831,1.0,-0.0,0.001556456774626765
Instruct.Experience,1.0,-0.0,0.0,1.0,-0.0,0.0
Instruct.Fixate,1.0,0.0,0.4919605308130118,1.0,-0.0,0.004076673606630683
Instruct.Generate,1.0,0.0,0.6551587654980655,1.0,-0.0,0.0036329598797330055
Instruct.Imagine,1.0,-0.0,0.4898640150338113,1.0,-0.0,0.001587094989724046
PC.Olfactory Monitor/Discrimination,1.0,-0.0,2.6087864460204884,1.0,0.0,0.0022430639475472247
