Term,pForward,zForward,likelihoodForward,pReverse,zReverse,probReverse
BD.Cognition.Attention,0.010720176750132482,2.551690284291608,1.8181044330213962,0.002999860759811633,2.967752192950701,0.023729173212875626
BD.Cognition.Memory.Working,0.019477232224481278,2.3362688827912987,1.9565898345153663,0.009900443489693031,2.5792872052661764,0.013756052244324354
ST.Letters,0.016462044912603835,2.398507376570918,2.011514157248754,0.021433046774231877,2.300267905607962,0.015405343759044477
Instruct.Recall,0.036161632925332476,2.0951052998401467,1.674416626434007,0.048788241643427,1.9704375847503577,0.01853451110965819
ST.Shapes,0.10743876586759515,1.6098126357504805,1.3697221705041478,0.08670036157339374,1.7130661989877172,0.018214370081054847
PC.Reward,0.030457335936776575,2.1640913931373653,1.8737415543528246,0.11889309855408473,1.5594365187990178,0.015549896416428581
Instruct.Detect,0.08210926766793991,1.7385765876562311,1.6197220999070403,0.13762101871908283,1.4847086523580753,0.00951298479081043
ST.Digits,0.11149323039179948,1.5915171879981038,1.5368884803580214,0.15816386620972234,1.4112739035250643,0.007323374372109865
RT.Button Press,0.13797602713928647,1.48337040053838,1.1841432917700128,0.15895275571747614,1.4086024442258034,0.06164490010783879
SM.Visual,0.2788062831292415,1.0830048211036627,1.0759927715699082,0.1861537948424656,1.3220431134492006,0.07658967712018279
Contrast.External Variable,0.06755445306697339,1.8279673423671576,1.6022602151318257,0.2830116742295945,1.0735784192805027,0.015644588771590633
BD.Cognition,0.09792260672102782,1.6550093232948815,1.452760224679656,0.298875558168545,1.0388477321631877,0.016510246495603315
RM.Hand,0.2596787702223642,1.1271507004780983,1.0939988764416244,0.419623225651263,0.8070750846977652,0.06314840628678554
ST.Faces,0.09398760515238158,1.6747280304043866,1.61417802742184,0.42573714404677054,0.796507455166289,0.009997175860465229
SM.Tactile,0.11736449572778962,1.565932177987644,1.4763752313421188,0.4394065280268884,0.7731957719243323,0.011434187551129838
RT.Speech,0.287408737026965,1.0638233376227544,1.1257502337838987,0.630585815339559,0.48090247262919683,0.009772126456157533
BD.Emotion,0.20698365453329048,1.261903105167443,1.208442426836836,0.6401191997212318,0.46753214443499624,0.020399585105906663
BD.Cognition.Memory.Explicit,0.23993748189412,1.1751430700480658,1.20255946413263,0.6906406749890114,0.3979857701673272,0.008839726072390305
ST.Pictures,0.20927196084149868,1.255569870639939,1.1988556632897869,0.7328544907242762,0.34133089682983586,0.022968593801738497
Instruct.Attend,0.3633954725096067,0.9089140960136427,1.0468875291098867,0.7670248658626386,0.2962687280619633,0.023846775891032183
RM.Oral/Facial,0.3763918302486253,0.8845639999172118,1.0244577951071148,0.85052783801357,0.1884449854806667,0.011693155388708883
RM.Foot,1.0,-0.0,0.0,1.0,-0.0,0.0
BD.Action.Execution,1.0,-0.0,0.32403002897188943,1.0,-0.0,0.003000274671881112
RM.Arm,1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Leg,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Writing,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Word Stem Completion (Overt),1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Word Stem Completion (Covert),1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Word Generation (Overt),1.0,-0.0,2.432796884185773,1.0,0.0,0.003834190934953776
PC.Word Generation (Covert),1.0,-0.0,0.0,1.0,-0.0,0.0
PC.n-back,1.0,0.0,2.1749527798308286,1.0,0.0,0.006775295932619539
RM.Other,1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Not Defined.,1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Ocular,1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Pelvis,1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Shoulder,1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Torso,1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Unknown,1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Wrist,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Blink,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Breath-Hold,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Draw,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Drink,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Finger Tapping,1.0,-0.0,0.8833786956985803,1.0,-0.0,0.0021536247173366985
PC.Wisconsin Card Sorting Test,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Visual Motion,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Whistling,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Visuospatial Attention,1.0,-0.0,0.7854770209030298,1.0,-0.0,0.0032109199870072537
PC.Stroop-Color Word,1.0,-0.0,3.084602841835546,1.0,0.0,0.003304276810453089
PC.Sexual Arousal/Gratification,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Sequence Recall/Learning,1.0,-0.0,1.8748159474459167,1.0,0.0,0.0015004789639368992
PC.Semantic Monitor/Discrimination,1.0,-0.0,0.2911039006718019,1.0,-0.0,0.0019713722088103686
PC.Self-Reflection,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Saccades,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Rest,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Recitation/Repetition (Overt),1.0,-0.0,1.4701794120259346,1.0,0.0,0.0011766345832310934
PC.Recitation/Repetition (Covert),1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Reasoning/Problem Solving,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Reading (Overt),1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Reading (Covert),1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Pointing,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Pitch Monitor/Discrimination,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Physical Size,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Stroop-Counting,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Stroop-Emotional,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Stroop-Other,1.0,-0.0,8.94985131116518,1.0,0.0,0.0035263361883516482
PC.Transcranial Magnetic Stimulation,1.0,-0.0,4.491317324650658,1.0,0.0,0.001935529077741089
PC.Visual Pursuit/Tracking,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Visual Object Identification,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Grasp,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Video Games,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Vibrotactile Monitor/Discrimination,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Trauma Recall,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Tower of London,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Syntactic Discrimination,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Tone Monitor/Discrimination,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Thirst Induction,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Theory of Mind,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Taste,1.0,-0.0,1.9098592361832236,1.0,0.0,0.0026572824441137006
PC.Task Switching,1.0,-0.0,2.3377114006284643,1.0,0.0,0.0034540614237667474
PC.Tactile Monitor/Discrimination,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Flexion/Extension,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Swallow,1.0,-0.0,1.6261666175459277,1.0,0.0,0.0020623396035241255
RT.Manipulate,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Infusion,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Instruction,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Interactive Computer Game,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Interactive Computer Program,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Letters and abstract objects,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Mathematical Equation,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Music,1.0,-0.0,1.5719610636277301,1.0,0.0,0.0014322915175284058
ST.Noise,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Not Defined.,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Numbers,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Objects,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Odor,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Pain,1.0,-0.0,2.3222152076318743,1.0,0.0,0.0014010591165012198
ST.Playing Cards,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Pseudowords,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Reversed Speech,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Scenes,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Sounds (Environmental),1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Spinner,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Stories,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Syllables,1.0,-0.0,1.4207759323634177,1.0,0.0,0.0008921824648034823
ST.Symbols,1.0,-0.0,0.9341940035273368,1.0,-0.0,0.0030021715020688068
ST.TMS,1.0,-0.0,4.213503881888761,1.0,0.0,0.001867685790480061
ST.Tactile Stimulation,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Tones,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Tools,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Uniform Screen,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Vibration,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Video,1.0,-0.0,0.5291884461068751,1.0,-0.0,0.0014399935365602458
ST.Vignettes,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Inhalation,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Heat,1.0,-0.0,0.756403226174972,1.0,-0.0,0.0012852581735228307
RT.Micturate,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Food,1.0,-0.0,1.2261296296296296,1.0,0.0,0.0025816086838910644
RT.Not Defined.,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Point,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Saccades,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Smile,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Passive Viewing,1.0,0.0,1.5546867662252277,1.0,0.0,0.0052642137004496655
RT.Unknown,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Whistle,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Write,1.0,-0.0,0.0,1.0,-0.0,0.0
SM.Auditory,1.0,0.0,0.4216764266631002,1.0,-0.0,0.006811944070147435
SM.Gustatory,1.0,-0.0,1.2549945032033056,1.0,0.0,0.002580573364038426
SM.Interoceptive,1.0,-0.0,0.0,1.0,-0.0,0.0
SM.Not Defined.,1.0,-0.0,0.0,1.0,-0.0,0.0
SM.Olfactory,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Abstract Patterns,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Abstract/Geometrical,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Acupuncture,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Air Puff,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Animations,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Arrow,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Asian Characters,1.0,-0.0,0.9928175138701454,1.0,-0.0,0.0013935809359735842
ST.Blurred disk,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Braille,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Cartoons,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Clicks,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Dots,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Electricity,1.0,0.0,5.094721452754694,1.0,0.0,0.006210313935588651
