Term,pForward,zForward,likelihoodForward,pReverse,zReverse,probReverse
PC.Deception,8.639804478283164e-05,3.9259222981635427,7.168485557143477,5.736729941399337e-09,5.824256827593672,0.004549426103503021
RT.Button Press,0.0016034288170453381,3.155282293143081,1.4445761353420223,8.371343985536548e-06,4.455460163844713,0.07454203958562051
RM.Hand,0.005847950467723795,2.756187269371092,1.354777678384105,4.8220917192684665e-05,4.064086619962581,0.07751423985349015
ST.Shapes,0.002478582478883218,3.025943945705946,1.7917877230432164,6.340587760982427e-05,3.999763267476631,0.0236176220853767
BD.Cognition.Attention,0.0022712090938674656,3.0522657711833943,1.826560732709868,0.000151848345219169,3.7880270094025903,0.023630115217045257
Instruct.Discriminate,0.001297571506356232,3.216516326020968,1.5410353800968046,0.0004565194308284213,3.50505122853899,0.060260256234111534
PC.Go/No-Go,0.027785705887279355,2.2002987504913767,1.983536047795534,0.0026610777484821625,3.0043970787118544,0.005204804415870996
PC.Delayed Match to Sample,0.021210797678412052,2.304211077435919,2.0912950880327767,0.0031944583037860196,2.948378356770912,0.005589658676385572
BD.Action.Inhibition,0.015477925089857458,2.42099887716157,2.2205469476145305,0.005101133362444665,2.8005770153499987,0.006233237181556221
SM.Visual,0.1383857742680883,1.4818290990612637,1.1260389469917647,0.011936649990460103,2.5140116228452634,0.07944786635237809
BD.Cognition.Memory.Working,0.03651859079183817,2.0911056897454907,1.6380752102919347,0.021477484391701072,2.2994837621235944,0.011415522731905244
Instruct.Recall,0.06657779343743697,1.834513582736185,1.4336971114286952,0.10014713490965542,1.6441407372399357,0.015730515642496987
ST.Letters,0.059108341718949964,1.887386632760549,1.5437201671909044,0.1125225182030228,1.586956406695956,0.01171884525357556
BD.Cognition.Social Cognition,0.05693226168347254,1.9038305094754715,1.7705527378395,0.17772385725280931,1.3477964586512585,0.006785226854266053
PC.n-back,0.07679766406132693,1.769576814551185,1.7070850306811738,0.19182565728198667,1.3051973471938851,0.005271103358758519
ST.Abstract/Geometrical,0.09687125570142996,1.660214763359444,1.5527301153019348,0.28479876747492894,1.0696013939576703,0.0066326927174148115
BD.Emotion,0.09847933781846907,1.6522709044258659,1.310636289571452,0.3124925387437993,1.0100057426301001,0.021930346848631793
PC.Visuospatial Attention,0.22344174897755154,1.217427122112217,1.2330162537431284,0.5011962079177823,0.6726087903036334,0.004996118633500053
PC.Reward,0.14964362212337234,1.4407914059053955,1.3236023189178383,0.5881269024483131,0.5415523827193433,0.0108878786756646
BD.Cognition,0.19581371706987927,1.2935707911134293,1.2162643741504098,0.5911027573973184,0.5372386782220772,0.013701103400336466
BD.Cognition.Memory.Explicit,0.22297301714450535,1.2186606550022119,1.2081527639658052,0.6042631280193471,0.5182797090006098,0.008802824426447356
Instruct.Generate,0.21778133480860506,1.2324491921509153,1.2341362791940305,0.6456746625593099,0.45977927235660765,0.0067026877380768155
ST.Faces,0.22800657920178158,1.2055097427032773,1.2162643741504098,0.8817262356191315,0.14878126351894413,0.007466581809717489
Contrast.External Variable,0.2773208696673337,1.0863574709204409,1.1318291635960283,0.9781361263922657,0.02740573212543152,0.010954181295753318
PC.Writing,1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Arm,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Word Stem Completion (Overt),1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Foot,1.0,-0.0,1.3650626752432788,1.0,0.0,0.0009163072829170876
PC.Word Stem Completion (Covert),1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Word Generation (Overt),1.0,-0.0,0.7637850682908822,1.0,-0.0,0.001193182816889437
PC.Word Generation (Covert),1.0,-0.0,1.0843596462495906,1.0,0.0,0.0020513081350220694
BD.Action.Execution,1.0,0.0,0.40692143173214024,1.0,-0.0,0.003734687442716303
RM.Leg,1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Not Defined.,1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Ocular,1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Oral/Facial,1.0,0.0,0.3675795411015561,1.0,-0.0,0.00415869358374075
PC.Wisconsin Card Sorting Test,1.0,-0.0,1.4692659328954376,1.0,0.0,0.0010221182002504694
RM.Pelvis,1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Shoulder,1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Torso,1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Unknown,1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Wrist,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Blink,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Breath-Hold,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Draw,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Drink,1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Other,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Video Games,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Whistling,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Rest,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Stroop-Color Word,1.0,0.0,3.873687289746965,1.0,0.0,0.004113103785767927
PC.Sexual Arousal/Gratification,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Sequence Recall/Learning,1.0,-0.0,2.354420027025105,1.0,0.0,0.0018677689736858732
PC.Semantic Monitor/Discrimination,1.0,-0.0,0.36557234037854197,1.0,-0.0,0.0024539283360172715
PC.Self-Reflection,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Saccades,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Recitation/Repetition (Overt),1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Visual Pursuit/Tracking,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Recitation/Repetition (Covert),1.0,-0.0,4.207078408946499,1.0,0.0,0.0010269196374868106
PC.Reasoning/Problem Solving,1.0,-0.0,1.417855154396334,1.0,0.0,0.002509144804853823
PC.Reading (Overt),1.0,-0.0,0.4857383904335706,1.0,-0.0,0.0006402536187788431
PC.Reading (Covert),1.0,-0.0,0.5448657812011389,1.0,-0.0,0.0009509363054986676
PC.Pointing,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Pitch Monitor/Discrimination,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Stroop-Counting,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Stroop-Emotional,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Stroop-Other,1.0,-0.0,2.8098370395518586,1.0,0.0,0.0010973798169932047
PC.Syntactic Discrimination,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Tactile Monitor/Discrimination,1.0,-0.0,0.860218266857217,1.0,-0.0,0.0012598410748162212
PC.Task Switching,1.0,0.0,2.9357305961380717,1.0,0.0,0.004299552953138296
PC.Taste,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Theory of Mind,1.0,-0.0,0.517750738962481,1.0,-0.0,0.0012385189494746778
PC.Thirst Induction,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Tone Monitor/Discrimination,1.0,-0.0,1.286374851858328,1.0,0.0,0.0014914785211117964
PC.Tower of London,1.0,-0.0,12.725542955986931,1.0,0.0,0.002329664797439087
PC.Transcranial Magnetic Stimulation,1.0,-0.0,2.820129482920181,1.0,0.0,0.001204655728590297
PC.Trauma Recall,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Vibrotactile Monitor/Discrimination,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Flexion/Extension,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Visual Motion,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Visual Object Identification,1.0,-0.0,0.6552300841167739,1.0,-0.0,0.0010795765806004957
RT.Finger Tapping,1.0,-0.0,0.5546796461363179,1.0,-0.0,0.0013403964749530652
RT.Speech,1.0,0.0,0.471244283909539,1.0,-0.0,0.004054721867799873
RT.Grasp,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Pseudowords,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Inhalation,1.0,-0.0,4.139222305576395,1.0,0.0,0.000858802954898244
ST.Instruction,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Interactive Computer Game,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Interactive Computer Program,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Letters and abstract objects,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Mathematical Equation,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Music,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Noise,1.0,-0.0,1.9615168123241,1.0,0.0,0.002226387937629048
ST.Not Defined.,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Numbers,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Objects,1.0,-0.0,1.3483281065450252,1.0,0.0,0.0014810303353246733
ST.Odor,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Pain,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Playing Cards,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Reversed Speech,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Manipulate,1.0,-0.0,0.9121982806128074,1.0,-0.0,0.0007013836789446351
ST.Scenes,1.0,-0.0,16.38075210291935,1.0,0.0,0.0013994511230006428
ST.Sounds (Environmental),1.0,-0.0,1.634597343603417,1.0,0.0,0.0013366307510855398
ST.Spinner,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Stories,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Syllables,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Symbols,1.0,0.0,1.1731738648947951,1.0,0.0,0.0037370485824977165
ST.TMS,1.0,-0.0,2.6456884839766643,1.0,0.0,0.0011624306824335236
ST.Tactile Stimulation,1.0,-0.0,0.6753467972256222,1.0,-0.0,0.0011539333821233369
ST.Tones,1.0,-0.0,0.6180588831981878,1.0,-0.0,0.00264766373058698
ST.Tools,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Uniform Screen,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Vibration,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Video,1.0,-0.0,0.3322811173229216,1.0,-0.0,0.0008962389058886292
ST.Vignettes,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Infusion,1.0,-0.0,2.583541439051038,1.0,0.0,0.0007567501758124282
ST.Heat,1.0,-0.0,1.4248525888412265,1.0,0.0,0.002399799061544594
ST.Food,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Fixation Point,1.0,0.0,0.35800760234234336,1.0,-0.0,0.0034911208703652403
RT.Micturate,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Not Defined.,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Point,1.0,-0.0,3.5892557055347756,1.0,0.0,0.002277894468607107
RT.Saccades,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Smile,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Phonological Discrimination,1.0,0.0,2.469592137408851,1.0,0.0,0.005304735795376936
RT.Swallow,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Unknown,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Whistle,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Write,1.0,-0.0,0.0,1.0,-0.0,0.0
SM.Gustatory,1.0,-0.0,0.0,1.0,-0.0,0.0
SM.Interoceptive,1.0,-0.0,1.7497621564482029,1.0,0.0,0.000747434122511707
SM.Not Defined.,1.0,-0.0,0.0,1.0,-0.0,0.0
SM.Olfactory,1.0,-0.0,1.5841468083070152,1.0,0.0,0.0013727126388751163
ST.Abstract Patterns,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Acupuncture,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Air Puff,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Animations,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Arrow,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Asian Characters,1.0,-0.0,0.6233970435928821,1.0,-0.0,0.0008673521245850138
ST.Blurred disk,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Braille,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Cartoons,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Clicks,1.0,-0.0,0.8516541469438156,1.0,-0.0,0.0011953276421963457
ST.Dots,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Electricity,1.0,-0.0,0.0,1.0,-0.0,0.0
ST.Faces and Scenes,1.0,-0.0,22.643980848153216,1.0,0.0,0.000552724393117901
ST.False Font,1.0,-0.0,1.1405857019810508,1.0,0.0,0.001057955430975301
ST.Film Clip,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Physical Size,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Paired Associate Recall,1.0,-0.0,2.3212925090569123,1.0,0.0,0.003484663435204616
PC.Passive Viewing,1.0,-0.0,0.6507991114431186,1.0,-0.0,0.0021842658815098793
Contrast.Session,1.0,-0.0,0.0,1.0,-0.0,0.0
BD.Perception.Audition,1.0,-0.0,0.5452516634824429,1.0,-0.0,0.0020429664360356414
BD.Perception.Gustation,1.0,-0.0,0.0,1.0,-0.0,0.0
BD.Perception.Olfaction,1.0,-0.0,1.6664401489982885,1.0,0.0,0.0013626690124703231
BD.Perception.Somesthesis,1.0,-0.0,1.0894745502413339,1.0,0.0,0.004746911804480011
BD.Perception.Somesthesis.Pain,1.0,-0.0,0.8326193390452876,1.0,-0.0,0.0026522402295574544
BD.Perception.Vision,1.0,-0.0,0.992986262472755,1.0,-0.0,0.003344861804612027
BD.Perception.Vision.Color,1.0,-0.0,0.0,1.0,-0.0,0.0
BD.Perception.Vision.Motion,1.0,-0.0,0.0,1.0,-0.0,0.0
BD.Perception.Vision.Shape,1.0,-0.0,0.9520552541268046,1.0,-0.0,0.0036020497342102286
BD.Pharmacology.Alcohol,1.0,-0.0,0.0,1.0,-0.0,0.0
BD.Pharmacology.Caffeine,1.0,-0.0,0.0,1.0,-0.0,0.0
