Term,pForward,zForward,likelihoodForward,pReverse,zReverse,probReverse
PC.Reasoning/Problem Solving,2.1024053890039696e-06,4.7433231015245525,6.455411114722132,3.497882844564247e-09,5.906341605419753,0.010945383724112665
BD.Cognition.Reasoning,4.5265193358123845e-05,4.078818316487396,4.134569751467466,7.591179151471292e-07,4.945594606567216,0.01058798998072338
ST.Pseudowords,0.00011644902487273345,3.8534836879133563,4.010627271503568,3.046665352951721e-06,4.6676485011089355,0.009285741227130506
PC.Reading (Overt),0.004934243274166805,2.8112955866892206,2.9487177583967346,9.217036619626141e-06,4.434770635822398,0.003723883146549842
Instruct.Read,0.003941767772013605,2.8827846819366076,2.2934909938279384,3.1369664570074024e-05,4.163288464365632,0.008340584985299031
PC.Film Viewing,0.00821114550839852,2.6432620615029028,2.493219290459668,0.001101877859821564,3.2631330248189325,0.005830818968282063
Contrast.Stimulus Type,0.0758858644022028,1.77507281864925,1.1739705527737982,0.0016910244667530474,3.1397320182009265,0.07684740051562318
ST.Video,0.01130911091000908,2.5329995157857432,2.3533321485693977,0.0031105465611530655,2.9565967215218074,0.00608155425007092
SM.Visual,0.11799624340050874,1.563239623896554,1.1392864640151972,0.0065128219991038945,2.720779337987187,0.07701494164745971
PC.Delayed Match to Sample,0.05140062499860132,1.948119843187464,1.813627336848593,0.019784327613207007,2.330413108478953,0.004644417490962246
BD.Cognition.Language.Speech,0.03094526532722286,2.157775825050248,1.679381116442265,0.027541751951890747,2.2037525400463007,0.011645095183914007
BD.Action.Inhibition,0.039579254535553776,2.0581133422364437,1.9257180251581474,0.02797860065542156,2.1975862963671493,0.005179163427927883
PC.Semantic Monitor/Discrimination,0.009678932671712825,2.5870934910996475,2.0343025529300043,0.03929341935777888,2.061100854166907,0.013083300528418612
PC.n-back,0.028395933714883914,2.1917725556959224,2.0726020607799662,0.05206146311465118,1.9426251729719186,0.006131624214429743
Instruct.Discriminate,0.031131523386382698,2.1553875041401094,1.319293637621337,0.06436722323932571,1.8496277300872956,0.0494280024186081
BD.Cognition.Language.Semantics,0.02642688876193655,2.2198803788069625,1.6545806670415095,0.09932393664428518,1.6481400442738325,0.016155243369493925
ST.Letters,0.055188469020327036,1.9173894854810394,1.5618815809225621,0.10339274767665639,1.6286234935610702,0.011359980133094121
BD.Cognition.Memory.Working,0.11632789868210969,1.5703749844216808,1.381122236128494,0.12999902052801918,1.5141057500816244,0.009221621857591653
RT.Button Press,0.15315155776848777,1.4284876119375545,1.1391657482506814,0.18959246713801314,1.3117856527268983,0.05631978404145243
ST.Shapes,0.22609250042137585,1.2104858936774778,1.1602352503093958,0.211641469194202,1.24906453941567,0.01465240436239434
Instruct.Attend,0.16495014446020706,1.3886140440947847,1.1876455162170987,0.25974765534551114,1.1269877617688149,0.025691984166006862
PC.Face Monitor/Discrimination,0.0781112798824194,1.761751574002312,1.5924855689939528,0.3331610215494698,0.9677664528058295,0.008249323130913202
Instruct.Generate,0.11369437426983453,1.5818037693616704,1.4567647844604046,0.3393942319692027,0.9553628541632249,0.007580337272530894
ST.Faces,0.12058796754379253,1.5523104130061722,1.435668927918719,0.5362523136782104,0.6184901122081334,0.008444255588556257
RM.Hand,0.3462441808884429,0.9418993345020191,1.0425165763737836,0.6764104435236592,0.41736637801199694,0.05714913428748156
BD.Cognition.Attention,0.42548831070350457,0.7969358123566782,1.0010269113576629,0.7022297477217421,0.382312279238288,0.012407683368105757
ST.Words,0.4434099330442025,0.7664477450393198,1.0023149792432067,0.7608887518444655,0.30431390593198526,0.028773639695715773
ST.Pictures,0.23758249011520094,1.1810509337718949,1.142438926193797,0.8506129999605078,0.1883363398407923,0.02078651432007481
BD.Emotion,0.3634026955706684,0.9089004133940536,1.0468859526607885,0.943954399362562,0.07030060703218863,0.016783244095185404
RM.Other,1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Arm,1.0,-0.0,2.238370520622042,1.0,0.0,0.0011516585543510803
RM.Foot,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Self-Reflection,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Saccades,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Reward,1.0,-0.0,0.44639137030170234,1.0,-0.0,0.003518153389426342
RM.Leg,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Rest,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Recitation/Repetition (Overt),1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Not Defined.,1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Ocular,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Recitation/Repetition (Covert),1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Pelvis,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Writing,1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Shoulder,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Reading (Covert),1.0,0.0,2.2051038674493153,1.0,0.0,0.003687263481871399
RM.Torso,1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Unknown,1.0,-0.0,0.0,1.0,-0.0,0.0
RM.Wrist,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Blink,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Breath-Hold,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Pointing,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Draw,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Drink,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Finger Tapping,1.0,-0.0,0.0,1.0,-0.0,0.0
RT.Flexion/Extension,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Sequence Recall/Learning,1.0,-0.0,2.382119086166577,1.0,0.0,0.0018105724561732995
PC.Word Stem Completion (Overt),1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Stroop-Emotional,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Trauma Recall,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Stroop-Other,1.0,-0.0,2.8428939458995277,1.0,0.0,0.0010637748557775074
PC.Syntactic Discrimination,1.0,-0.0,0.0,1.0,-0.0,0.0
PC.Tactile Monitor/Discrimination,1.0,-0.0,0.0,1.0,-0.0,0.0
